Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
5/1/2015,Transilien,N,Paris Montparnasse,83.60,15.10
5/1/2015,Transilien,P,Paris Est,83.60,12.70
5/1/2015,Transilien,R,Paris Sud Est,83.60,6.00
5/1/2015,Transilien,U,La Verrière - La Défense,83.60,18.80
6/1/2015,RER,A,RER A,83.60,2.50
6/1/2015,RER,B,RER B,83.60,5.70
6/1/2015,RER,C,RER C,83.60,6.20
6/1/2015,RER,D,RER D,83.60,4.80
6/1/2015,RER,E,RER E,83.60,13.40
6/1/2015,Transilien,H,Paris Nord Ouest,83.60,12.00
6/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,8.10
6/1/2015,Transilien,K,Paris Nord Crépy,83.60,9.00
6/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.80
6/1/2015,Transilien,N,Paris Montparnasse,83.60,7.20
6/1/2015,Transilien,P,Paris Est,83.60,8.00
6/1/2015,Transilien,R,Paris Sud Est,83.60,5.80
6/1/2015,Transilien,U,La Verrière - La Défense,83.60,14.80
7/1/2015,RER,A,RER A,83.60,2.70
7/1/2015,RER,B,RER B,83.60,10.00
7/1/2015,RER,C,RER C,83.60,7.50
7/1/2015,RER,D,RER D,83.60,7.10
7/1/2015,RER,E,RER E,83.60,14.40
7/1/2015,Transilien,H,Paris Nord Ouest,83.60,12.90
7/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,6.60
7/1/2015,Transilien,K,Paris Nord Crépy,83.60,8.40
7/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,3.70
7/1/2015,Transilien,N,Paris Montparnasse,83.60,9.60
7/1/2015,Transilien,P,Paris Est,83.60,9.10
7/1/2015,Transilien,R,Paris Sud Est,83.60,7.90
7/1/2015,Transilien,U,La Verrière - La Défense,83.60,12.00
8/1/2015,RER,A,RER A,83.60,4.90
8/1/2015,RER,B,RER B,83.60,13.10
8/1/2015,RER,C,RER C,83.60,13.50
8/1/2015,RER,D,RER D,83.60,10.80
8/1/2015,RER,E,RER E,83.60,17.90
8/1/2015,Transilien,H,Paris Nord Ouest,83.60,26.00
8/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,9.00
8/1/2015,Transilien,K,Paris Nord Crépy,83.60,7.10
8/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,8.90
8/1/2015,Transilien,N,Paris Montparnasse,83.60,26.00
8/1/2015,Transilien,P,Paris Est,83.60,9.90
8/1/2015,Transilien,R,Paris Sud Est,83.60,10.40
8/1/2015,Transilien,U,La Verrière - La Défense,83.60,23.40
9/1/2015,RER,A,RER A,83.60,2.30
9/1/2015,RER,B,RER B,83.60,8.40
9/1/2015,RER,C,RER C,83.60,9.70
9/1/2015,RER,D,RER D,83.60,6.70
9/1/2015,RER,E,RER E,83.60,8.90
9/1/2015,Transilien,H,Paris Nord Ouest,83.60,22.00
9/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,5.70
9/1/2015,Transilien,K,Paris Nord Crépy,83.60,7.30
9/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,5.30
9/1/2015,Transilien,N,Paris Montparnasse,83.60,13.20
9/1/2015,Transilien,P,Paris Est,83.60,6.20
9/1/2015,Transilien,R,Paris Sud Est,83.60,8.60
9/1/2015,Transilien,U,La Verrière - La Défense,83.60,12.90
10/1/2015,RER,A,RER A,83.60,1.90
10/1/2015,RER,B,RER B,83.60,9.00
10/1/2015,RER,C,RER C,83.60,7.40
10/1/2015,RER,D,RER D,83.60,5.30
10/1/2015,RER,E,RER E,83.60,18.90
10/1/2015,Transilien,H,Paris Nord Ouest,83.60,14.40
10/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,7.30
10/1/2015,Transilien,K,Paris Nord Crépy,83.60,9.20
10/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.80
10/1/2015,Transilien,N,Paris Montparnasse,83.60,7.00
10/1/2015,Transilien,P,Paris Est,83.60,9.80
10/1/2015,Transilien,R,Paris Sud Est,83.60,5.70
10/1/2015,Transilien,U,La Verrière - La Défense,83.60,10.70
11/1/2015,RER,A,RER A,83.60,2.00
11/1/2015,RER,B,RER B,83.60,6.50
11/1/2015,RER,C,RER C,83.60,6.00
11/1/2015,RER,D,RER D,83.60,4.40
11/1/2015,RER,E,RER E,83.60,13.10
11/1/2015,Transilien,H,Paris Nord Ouest,83.60,16.50
11/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,7.50
